Symbol,Name,Last,Std Dev,"Market Cap, $K",1Y Return,3Y Return,20D His Vol,Long Term,Exchange,%Chg,52W High,52W Low,Pivot
LBAI,Lakeland Bancorp Inc,20.9,-0.29,991983000,58.20%,90.63%,17.76%,100% Buy,NASDAQ,-0.24%,21.4,13.2,20.97
LBRDA,Liberty Broadbd A,88.31,-0.58,16146505000,33.59%,0.00%,15.54%,33% Sell,NASDAQ,-0.55%,104.35,61.69,89.45
LBRDK,Liberty Broadbd C,89.98,-0.58,16453796000,32.65%,0.00%,16.38%,33% Sell,NASDAQ,-0.56%,104.66,63.64,91.18
LBY,Libbey Inc,9.92,-0.09,219000000,-40.04%,-65.39%,37.25%,100% Buy,AMEX,-0.30%,20.76,7.33,9.9
LC,Lendingclub Corp,5.63,0.53,2253539000,15.00%,0.00%,29.31%,33% Sell,NYSE,0.90%,6.78,4.64,5.63
LCI,Lannett Co Inc,23.3,-0.12,873044000,6.38%,-58.66%,58.58%,33% Buy,NYSE,-0.64%,27.9,14.9,23.43
LCII,Lci Industries,122.5,-1.08,3087581000,29.93%,157.70%,20.22%,100% Buy,NYSE,-1.09%,124.3,80.65,123.72
LCNB,Lcnb Corp,20.13,-2.93,212424000,13.22%,41.33%,28.10%,Hold,NASDAQ,-5.05%,25,16.55,21.19
LCUT,Lifetime Brands Inc,19.1,-1.37,287860000,36.93%,13.68%,20.92%,Hold,NASDAQ,-1.79%,21.2,13.8,19.42
LDL,Lydall Inc,57.3,-0.3,997617000,26.23%,87.20%,18.14%,67% Buy,NYSE,-1.04%,64.85,44.14,58.06
LDOS,Leidos Holdings Inc,62.52,2.17,9260101000,49.74%,67.46%,15.24%,100% Buy,NYSE,2.09%,63.68,40.96,61.52
LE,Lands' End Inc,12.95,-0.22,415695000,-18.10%,-72.72%,28.14%,67% Sell,NASDAQ,unch,24.8,11.2,13.03
LEA,Lear Corp,171,-2.5,11887468000,50.14%,88.96%,12.77%,67% Buy,NYSE,-2.17%,177.24,112.54,174.38
LECO,Lincoln Elec Hldg,96.24,-2.47,6484885000,49.21%,35.75%,11.82%,33% Buy,NASDAQ,-2.19%,99.59,63.49,98.57
LEG,Leggett & Platt Inc,47.51,-2.51,6422679000,5.50%,23.29%,12.76%,67% Sell,NYSE,-2.14%,54.97,43.17,48.72
LEN,Lennar Corp,58.08,0.19,13647432000,41.08%,34.66%,18.68%,33% Buy,NYSE,0.12%,58.96,39.68,57.83
LEN.B,Lennar Corp,49.47,-0.12,11579497000,47.45%,40.19%,20.08%,33% Buy,NYSE,0.51%,49.7,32.09,48.91
LEXEA,Liberty Expedia Holdings Inc,54.58,-1.33,3181383000,21.80%,0.00%,16.40%,Hold,NASDAQ,-1.78%,58.2,35.96,55.82
LFGR,Leaf Group Ldt.,6.95,-1.21,144830000,12.30%,-0.57%,28.31%,67% Sell,NYSE,-0.71%,9.35,5.3,7.05
LFUS,Littelfuse Inc,207.66,-1.45,4788176000,52.37%,116.16%,19.60%,100% Buy,NASDAQ,-1.51%,212.47,131.67,210.73
LGF.A,Lions Gate Entertainment Corp Cl A,29.97,1.48,6152815000,10.26%,0.00%,21.65%,67% Buy,NYSE,1.59%,33.68,24.27,29.64
LGF.B,Lions Gate Entertainment Corp Cl B,28.73,1.49,3586323000,8.99%,0.00%,21.39%,67% Buy,NYSE,1.99%,32.08,22.5,28.35
LGIH,LGI Homes Inc,56.81,-0.97,1244447000,86.86%,196.40%,18.79%,100% Buy,NASDAQ,-1.30%,57.92,26.82,57.09
LGND,Ligand Pharm,141.77,-1.74,3021096000,52.03%,159.67%,10.81%,67% Buy,NASDAQ,-1.22%,144.86,87.5,143.6
LH,Laboratory Corporation of America Holdings,154.34,2.19,15357549000,11.05%,38.04%,13.58%,67% Buy,NYSE,2.31%,164.22,119.51,150.82
LHCG,LHC Group Inc,67.92,-0.11,1243406000,88.46%,179.34%,16.99%,67% Buy,NASDAQ,-0.15%,73.85,32.04,67.91
LHO,Lasalle Hotel Properties,27.95,0.12,3169308000,12.83%,-28.62%,28.89%,67% Sell,NYSE,-0.14%,31.87,23.05,28.03
LII,Lennox International,191.62,-1.4,8291323000,31.82%,121.06%,29.10%,33% Buy,NYSE,-2.52%,201.4,140.97,197.32
LIND,Lindblad Expd Hld,10.4,-1.81,477291000,23.37%,8.84%,15.87%,67% Buy,NASDAQ,-1.79%,11.26,7.75,10.68
LION,Fidelity Southern Cp,21.97,0.81,582327000,18.84%,42.08%,24.24%,67% Sell,NASDAQ,0.73%,24.95,17.78,21.78
LITE,Lumentum Hld,60.6,-1.22,3909045000,49.33%,0.00%,44.14%,33% Buy,NASDAQ,-3.96%,68.63,32.9,62.27
LIVN,Livanova Plc Or Sh,73.64,-1.05,3587965000,28.16%,0.00%,13.48%,67% Buy,NASDAQ,-1.11%,75.73,40.83,74.31
LJPC,La Jolla Pharma,31.96,-1.95,733057000,60.38%,201.55%,32.74%,Hold,NASDAQ,-3.56%,39.28,14.63,33.48
LKFN,Lakeland Finl Corp,48.58,-0.97,1235570000,31.99%,77.55%,14.31%,67% Buy,NASDAQ,-0.96%,49.98,35.23,49.09
LKQ,LKQ Corp,36.4,-2.69,11458705000,10.66%,29.86%,9.84%,67% Buy,NASDAQ,-1.89%,37.7,27.85,37.16
LKSD,Lsc Communications Inc,16.92,0.34,584408000,-31.87%,0.00%,55.68%,67% Sell,NYSE,1.01%,30.74,15.05,16.68
LL,Lumber Liquidators Holdings Inc,34.21,-0.93,990941000,85.36%,-35.13%,30.96%,67% Buy,NYSE,-1.92%,41.33,14.02,34.94
LLEX,Lilis Energy Inc,4.46,-1.01,236034000,29.60%,-73.58%,48.08%,Hold,AMEX,-4.09%,5.69,2.1,4.7
LLL,L-3 Communications Holdings,187.74,-0.35,14721787000,26.93%,54.96%,10.55%,67% Buy,NYSE,-0.25%,192,132.38,188.49
LLNW,Limelight Networks,4.77,0.17,526608000,155.03%,96.72%,39.42%,100% Buy,NASDAQ,-0.63%,5.18,1.7,4.85
LLY,Eli Lilly and Company,84.95,-0.4,93771312000,9.21%,28.40%,12.23%,67% Buy,NYSE,-0.26%,89.09,64.18,85.75
LM,Legg Mason Inc,37.22,-0.6,3522168000,18.36%,-27.63%,21.13%,67% Sell,NYSE,-1.09%,42.08,28.1,37.68
LMAT,Lemaitre Vascular,37.78,-1.15,729797000,95.80%,424.18%,21.68%,67% Buy,NASDAQ,-1.54%,39.88,18.55,38.38
LMNR,Limoneira Co,22.91,0.06,331229000,17.94%,-10.17%,32.01%,67% Buy,NASDAQ,-0.61%,24.5,16.39,23.04
LMNX,Luminex Corp,20.12,-1.14,896384000,-5.26%,7.05%,12.40%,67% Sell,NASDAQ,-1.08%,22.27,17.64,20.39
LMOS,Lumos Networks Corp,17.97,0.72,429962000,28.63%,4.42%,1.22%,100% Buy,NASDAQ,0.06%,17.99,13.25,17.97
LMT,Lockheed Martin Corp,313.04,-0.19,90184064000,25.46%,64.32%,11.22%,67% Buy,NYSE,-0.04%,322.19,236.21,313.59
LNC,Lincoln National Corp,76.15,-1.19,17104332000,58.57%,41.00%,12.43%,100% Buy,NYSE,-1.37%,77.34,47.9,76.83
LNCE,Snyders-Lance Inc,37.72,-1.12,3668834000,2.95%,27.43%,8.61%,67% Buy,NASDAQ,-0.63%,40.85,31.03,37.93
LNDC,Landec Cp,13.05,0,357630000,-5.11%,3.26%,21.88%,67% Sell,NASDAQ,0.38%,15.5,11.2,13.05
LNG,Cheniere Energy,43.99,-1.83,10742781000,9.88%,-39.77%,21.78%,67% Sell,AMEX,-2.61%,51.41,35.07,45.4
LNN,Lindsay Corp,91.39,-0.97,988252000,16.65%,5.31%,16.45%,67% Buy,NYSE,-1.05%,95.04,72.85,92.2
LNT,Alliant Energy Corp,43.02,-1.59,10046489000,15.22%,40.46%,9.20%,67% Buy,NYSE,-1.06%,43.97,34.88,43.56
LNTH,Lantheus Holdings,18.15,0,677902000,98.36%,0.00%,28.59%,Hold,NASDAQ,0.11%,20.45,7.95,18.23
LOB,Live Oak Bancsh,23.35,-1.27,819709000,63.51%,0.00%,18.66%,67% Sell,NASDAQ,-1.27%,26.05,14.25,23.7
LOCO,El Pollo Loco,11.48,-1.53,452205000,-5.35%,-67.18%,17.87%,67% Sell,NASDAQ,-1.88%,14.85,10.08,11.74
LOGM,Logmein Inc,121.4,-0.4,6430424000,35.24%,153.80%,16.30%,100% Buy,NASDAQ,-0.45%,123.95,86.22,121.53
LOPE,Grand Canyon Educati,87.98,-1.27,4312515000,111.40%,87.10%,18.49%,67% Buy,NASDAQ,-1.83%,93.08,41.31,89.42
LORL,Loral Space Comm,49,-0.12,1517117000,28.44%,-35.88%,13.99%,67% Buy,NASDAQ,-0.10%,51.75,35.55,49.1
LOW,Lowe's Companies,80.8,-0.44,67930920000,18.15%,41.89%,11.65%,67% Buy,NYSE,-0.44%,86.25,64.87,80.69
LOXO,Loxo Oncology CS,86.57,0.58,2223273000,315.59%,687.95%,51.97%,67% Buy,NASDAQ,1.82%,95.92,17.14,85.15
LPG,Dorian Lpg Ltd,7.52,-0.54,439761000,23.77%,-46.55%,42.38%,Hold,NYSE,-1.83%,12.5,5.63,7.67
LPI,Laredo Petroleum Holdings Inc,10.59,-2,2662760000,-16.38%,-42.09%,30.26%,33% Sell,NYSE,-3.55%,16.47,9.57,11.08
LPLA,Lpl Financial Hld,52.86,-0.99,4786404000,66.07%,28.53%,11.82%,100% Buy,NASDAQ,-0.64%,53.92,30.77,53.09
LPNT,Lifepoint Health,55.85,-2.66,2349026000,-7.96%,-16.36%,25.49%,67% Sell,NASDAQ,-4.61%,70.95,50.6,58.4
LPSN,Liveperson Inc,14.2,-0.78,841536000,66.67%,0.00%,28.39%,67% Buy,NASDAQ,-1.39%,15.1,5.43,14.36
LPT,Liberty Property Trust,42.25,-0.2,6243422000,5.54%,21.89%,11.14%,67% Buy,NYSE,-0.31%,43.7,36.22,42.27
LPX,Louisiana-Pacific Corp,27.01,-1.7,4039920000,51.48%,91.10%,25.62%,67% Buy,NYSE,-3.19%,29.44,17.08,27.73
LQ,La Quinta Holdings Inc,17.61,-1.28,2096661000,69.49%,-12.54%,16.82%,67% Buy,NYSE,-1.34%,18.53,9.73,17.86
LQDT,Liquidity Services,5.65,-0.88,181125000,-39.52%,-55.01%,30.03%,67% Sell,NASDAQ,-1.74%,10.5,5.5,5.76
LRCX,Lam Research Corp,199.21,-2.25,33335786000,104.33%,164.37%,18.87%,100% Buy,NASDAQ,-3.22%,208.41,93.69,205.29
LRN,K12 Inc,17.88,-0.64,738752000,24.76%,46.13%,24.84%,Hold,NYSE,-1.32%,21.18,10.17,18.18
LSCC,Lattice Semicond,5.81,0.1,713226000,-10.48%,-13.56%,26.43%,67% Sell,NASDAQ,0.17%,7.99,5.05,5.85
LSI,Life Storage,80.81,0.25,3758789000,-3.07%,-5.12%,12.82%,67% Buy,NYSE,0.10%,89.24,69,81.04
LSTR,Landstar System,97.8,-1.54,4180318000,38.38%,34.64%,14.60%,67% Buy,NASDAQ,-1.86%,102.55,69.95,99.74
LSXMA,Liberty Srs XM CS A,41.77,-2.53,14522353000,22.74%,0.00%,21.26%,Hold,NASDAQ,-3.35%,46.43,31.83,43.39
LSXMK,Liberty Srs XM CS C,41.7,-2.67,9657867000,23.88%,0.00%,20.32%,Hold,NASDAQ,-3.49%,46.24,32.13,43.38
LTC,Ltc Properties,46.35,-2.24,1849430000,-8.87%,11.47%,5.18%,100% Sell,NYSE,-0.86%,52.85,43.17,46.74
LTRPA,Liberty Tripadv A,11.05,-1.41,863190000,-49.20%,-63.58%,39.75%,33% Sell,NASDAQ,-3.91%,22.35,10.05,11.5
LTS,Ladenburg Thalmann Financial Inc,2.81,-1.13,563525000,25.00%,-32.79%,34.63%,67% Buy,AMEX,-2.09%,2.98,1.63,2.86
LTXB,Legacytexas Fnl,39.23,-0.45,1882472000,17.06%,43.78%,15.36%,Hold,NASDAQ,0.05%,44.94,31.14,39.12
LUK,Leucadia National Corp,25.11,-2.72,9231394000,34.73%,8.24%,13.76%,67% Sell,NYSE,-2.45%,27.33,17.87,25.67
LULU,Lululemon Athletica,61.02,-0.47,8375961000,11.20%,48.55%,32.59%,67% Buy,NASDAQ,-1.37%,72.7,47.26,62.55
LUV,Southwest Airlines Company,57.01,-1.84,35195916000,36.97%,70.53%,19.86%,Hold,NYSE,-3.04%,64.39,36.91,58.75
LVLT,Level 3 Communications,52.82,-0.79,19295108000,12.56%,13.41%,15.52%,67% Sell,NYSE,-0.71%,64.61,46.35,53.31
LVNTA,Liberty Vntrs Srs A,56.17,-0.26,4575938000,36.12%,77.24%,15.16%,33% Sell,NASDAQ,-0.14%,62.41,36.54,56.25
LVS,Las Vegas Sands,62.76,-0.15,49971860000,8.73%,1.43%,14.45%,67% Buy,NYSE,-0.62%,66.22,51.35,63.15
LW,Lamb Weston Holdings Inc,50.39,-0.33,7415264000,66.77%,0.00%,13.13%,100% Buy,NYSE,-0.65%,51.2,28.75,50.79
LWAY,Lifeway Foods Inc,10.25,0.67,164718000,-40.89%,-38.07%,44.21%,33% Buy,NASDAQ,1.89%,18.44,7.2,10.2
LXP,Lexington Realty Trust,10.1,-2.77,2485605000,-1.80%,-5.75%,12.03%,67% Buy,NYSE,-2.23%,11.42,9,10.33
LXRX,Lexicon Pharmaceutcl,10.2,-1.98,1115981000,-35.81%,4.14%,30.18%,100% Sell,NASDAQ,-3.50%,18,10.13,10.67
LXU,Lsb Industries Inc,7.61,-0.58,219325000,24.10%,-79.43%,54.05%,67% Sell,NYSE,-1.42%,11.71,4.52,7.75
LYB,Lyondellbasell Industries Nv,99.2,-1.8,39952052000,24.15%,10.16%,14.67%,67% Buy,NYSE,-1.72%,101.47,76.71,100.47
LYTS,L S I Industries I,6.41,-0.93,168243000,-39.15%,-7.96%,36.81%,67% Sell,NASDAQ,-2.73%,10.68,4.99,6.57
LYV,Live Nation Entertainment,42.34,-1.35,8857836000,52.57%,65.27%,15.71%,67% Buy,NYSE,-1.47%,43.85,26.41,43.02
LZB,La-Z-Boy Inc,27.7,-0.89,1357811000,20.33%,22.27%,17.74%,67% Sell,NYSE,-0.89%,34.1,22.5,27.77
M,Macy's Inc,21.2,-0.42,6517584000,-40.89%,-62.99%,28.67%,67% Sell,NYSE,-0.93%,45.41,19.32,21.39
MA,Mastercard Inc,145.46,0.12,1.55262E+11,41.81%,74.09%,8.47%,67% Buy,NYSE,-0.23%,148.45,99.51,145.88
MAA,Mid-America Apartment Communities,104.29,0.48,11833618000,12.52%,47.41%,8.24%,33% Sell,NYSE,0.12%,110.95,87.59,103.93
MAC,Macerich Company,55.76,-1.21,8017948000,-26.85%,-19.57%,16.50%,67% Sell,NYSE,-1.66%,76.14,52.12,56.92
MACK,Merrimack Pharmaceuticals Inc.,11.99,-0.08,159827000,-76.78%,-86.92%,47.38%,33% Sell,NASDAQ,-0.25%,67.9,11.3,12.18
MAN,Manpower Inc,123.16,-0.15,8273186000,58.17%,85.74%,17.96%,100% Buy,NYSE,-0.66%,125.08,75.29,123.27
MANH,Manhattan Assoc,44.21,-3.01,3367920000,-15.05%,21.82%,55.01%,67% Sell,NASDAQ,-9.52%,55.74,40.83,49
MANT,Mantech Intl Cp A,46.27,-0.21,1800218000,16.20%,64.38%,16.00%,100% Buy,NASDAQ,-0.04%,46.9,33.5,46.36
MAR,Marriot Int Class A,115.81,-0.76,43502380000,72.79%,54.20%,12.12%,100% Buy,NASDAQ,-0.86%,117.09,65.91,116.45
MAS,Masco Corp,39.66,-2.25,13008030000,31.24%,85.00%,16.78%,33% Buy,NYSE,-2.87%,41.1,29.38,40.47
MASI,Masimo Corp,86.04,-1.18,4526052000,46.74%,245.25%,18.36%,67% Sell,NASDAQ,-1.26%,104.71,53.78,87.27
MAT,Mattel Inc,15.3,-0.68,5278042000,-53.16%,-50.43%,19.91%,67% Sell,NASDAQ,-0.65%,32.63,14.35,15.37
MATW,Matthews Intl Corp,62,-0.3,2010266000,4.64%,35.53%,17.05%,67% Sell,NASDAQ,-0.72%,77.85,57.4,62.72
MATX,Matson Inc,26.74,-0.91,1164941000,-33.38%,-5.19%,17.45%,67% Sell,NYSE,-1.00%,42,21.63,26.97
MB,Mindbody Cls A,28.35,-1.43,1341833000,53.12%,0.00%,27.18%,33% Buy,NASDAQ,-2.07%,29.75,17.75,28.77
MBCN,Middlefield Banc,44.54,0.28,142364000,27.26%,33.50%,24.89%,67% Sell,NASDAQ,0.43%,54.6,34.1,44.97
MBFI,MB Financial Inc,45.81,-1.03,3892496000,24.46%,47.07%,17.85%,100% Buy,NASDAQ,-1.27%,48.47,35.65,46.43
MBI,MBIA Inc,6.39,-0.91,836703000,-20.75%,-31.86%,40.21%,100% Sell,NYSE,-3.91%,11.65,6.48,6.65
MBTF,Mbt Financial Corp,10.65,-0.34,243566000,9.23%,129.03%,21.55%,67% Buy,NASDAQ,unch,12.25,8.2,10.7
MBUU,Malibu Boats Cmn A,31.78,-1.38,662063000,115.30%,74.87%,24.21%,67% Buy,NASDAQ,-2.60%,33.35,14.28,32.47
MBWM,Mercantile Bank Corp,36.66,-0.1,605678000,32.37%,86.16%,22.62%,100% Buy,NASDAQ,-0.19%,38.68,27,36.76
MC,Moelis,43.45,-1.15,2328336000,72.51%,27.93%,12.75%,100% Buy,NYSE,-0.57%,44.85,24.3,43.52
MCBC,Macatawa Bank Corp,10.25,0.12,348903000,28.46%,97.31%,12.86%,67% Buy,NASDAQ,-0.29%,10.67,7.84,10.32
MCD,McDonald's Corp,163.42,-0.37,1.32743E+11,44.97%,74.84%,12.32%,100% Buy,NYSE,-0.28%,167.9,110.83,164.65
MCF,Contango Oil & Gas Company,3.75,-1.07,98086000,-61.82%,-89.53%,51.40%,100% Sell,AMEX,-2.09%,10.39,3.63,3.95
MCFT,Mcbc Holdings,22.41,-1.01,425365000,93.62%,0.00%,26.45%,100% Buy,NASDAQ,-1.80%,23.42,10.84,22.9
MCHP,Microchip Technology,91.62,-2.64,21715102000,50.94%,116.45%,8.88%,67% Buy,NASDAQ,-1.81%,94.66,59.38,93.08
MCK,Mckesson Corp,150.74,0.52,31486434000,-4.94%,-26.38%,18.73%,67% Sell,NYSE,0.66%,169.29,114.53,149.12
MCO,Moody's Corp,144.71,-2.08,28077000000,41.49%,48.14%,8.29%,100% Buy,NYSE,-1.56%,147.69,93.51,146.63
MCRB,Seres Theraptc,10.05,-0.67,418844000,-17.94%,0.00%,93.65%,33% Sell,NASDAQ,-3.09%,17.42,8.85,10.27
MCRI,Monarch Casino,42.88,3.56,721073000,84.61%,152.24%,18.85%,100% Buy,NASDAQ,4.48%,43.99,21.13,41.1
MCRN,Milacron Holdings Corp,18.48,-0.76,1289941000,22.21%,0.00%,15.79%,33% Buy,NYSE,-0.81%,19.57,12.43,18.66
MCS,Marcus Corp,26.9,-1.13,761151000,7.84%,59.66%,20.75%,67% Sell,NYSE,-1.65%,34.9,23.85,27.3
MCY,Mercury General Corp,55.69,-0.08,3088511000,7.86%,5.12%,7.54%,33% Sell,NYSE,-0.27%,64.52,50.32,55.89
MD,Mednax Inc,43.21,-1.08,4132987000,-33.79%,-29.25%,28.44%,67% Sell,NYSE,-2.17%,72.13,40.78,44.14
MDC,M.D.C. Holdings,36.17,-1.71,1901921000,52.33%,50.12%,11.44%,33% Buy,NYSE,-1.34%,36.96,22.31,36.7
MDCA,Mdc Partners Cl A,11.25,-1.02,671945000,17.19%,-44.44%,34.19%,67% Buy,NASDAQ,-2.17%,12.26,2.75,11.58
MDCO,Medicines Co,31.47,-2.39,2386224000,-14.80%,29.74%,27.88%,100% Sell,NASDAQ,-4.20%,55.95,30.8,33.03
MDLY,Medley Management Inc,5.8,-0.49,31122000,-37.63%,-64.02%,27.53%,100% Sell,NYSE,-0.85%,10.65,5.6,5.93
MDLZ,Mondelez Intl Cmn A,40.8,-1.17,61948928000,-4.61%,16.53%,10.00%,67% Sell,NASDAQ,-0.71%,47.23,40.04,41.15
MDP,Meredith Corp,53.25,0.29,2356582000,9.17%,1.36%,15.49%,100% Sell,NYSE,0.76%,66.25,43.85,52.88
MDR,McDermott International,6.09,-1.07,1752157000,16.09%,60.68%,26.79%,67% Sell,NYSE,-1.30%,8.33,4.96,6.24
MDRX,Allscripts Hlthcare,13.7,-2.27,2524928000,11.02%,1.90%,14.14%,67% Buy,NASDAQ,-2.00%,14.45,9.8,13.99
MDSO,Medidata Solutions,80.17,-1.77,4789395000,62.28%,81.49%,18.48%,33% Buy,NASDAQ,-2.08%,85.92,46.1,81.59
MDT,Medtronic Inc,78.54,-0.03,1.06552E+11,-4.64%,15.40%,15.57%,67% Sell,NYSE,-0.15%,89.72,69.35,78.77
MDU,Mdu Res Group Inc,26.76,-0.95,5251617000,5.42%,-4.58%,10.36%,67% Buy,NYSE,-0.48%,29.92,24.8,26.86
MDXG,Mimedx Group Inc,11.39,0.27,1270911000,35.66%,11.00%,78.17%,100% Sell,NASDAQ,0.80%,17.47,7.64,11.62
MED,Medifast Inc,62.84,-0.18,750039000,50.70%,98.08%,16.88%,100% Buy,NYSE,-0.05%,64.26,36.7,62.91
MEDP,Medpace Holdings Inc,33.6,0.12,1325285000,10.58%,0.00%,21.40%,100% Buy,NASDAQ,0.12%,38.94,21.76,33.61
MEET,The Meet Group,3.4,-0.78,248428000,-38.13%,74.75%,26.46%,67% Sell,NASDAQ,-1.73%,6.45,3.4,3.48
MEI,Methode Electronics,45.85,-0.32,1691420000,43.96%,16.68%,10.73%,100% Buy,NYSE,-0.22%,46.6,29.85,46.13
MET,Metlife Inc,53.75,-0.7,57445248000,30.44%,11.79%,9.60%,100% Buy,NYSE,-0.72%,54.33,40.38,54.1
METC,Ramaco Resources Inc,6.11,-0.65,243777000,-55.13%,0.00%,35.88%,33% Sell,NASDAQ,-0.97%,14.78,5.01,6.24
MFA,MFA Financial Inc,8.47,-2.78,3424291000,13.54%,3.10%,11.33%,33% Sell,NYSE,-1.97%,8.9,7.17,8.64
MFSF,Mutualfirst Finl Inc,39.21,0.44,294093000,43.60%,83.22%,22.82%,100% Buy,NASDAQ,-1.61%,40.45,26.3,39.75
MG,Mistras Group Inc,20.76,0.31,583928000,-2.03%,25.35%,17.42%,Hold,NYSE,0.44%,26.46,17,20.61
MGEE,Mge Energy Inc,64.45,-1.58,2272619000,13.80%,47.40%,16.27%,67% Sell,NASDAQ,-1.68%,68.7,56,65.82
MGEN,Miragen Therapeutics Inc,8.9,-0.19,192461000,48.33%,-81.33%,57.37%,67% Sell,NASDAQ,-0.67%,18,1.8,9.06
MGI,Moneygram Intl,15.76,-0.37,857602000,155.02%,83.95%,16.12%,67% Sell,NASDAQ,-0.38%,17.92,5.83,15.82
MGLN,Magellan Health,83.85,0.21,1990304000,55.47%,38.88%,17.72%,67% Buy,NASDAQ,-0.24%,88.1,49.5,84.7
MGM,MGM Resorts International,30.9,-0.38,17957432000,18.94%,34.28%,26.94%,67% Sell,NYSE,-1.02%,34.65,25.15,31.04
MGNX,Macrogenics,19.35,4.02,595792000,-22.33%,-23.95%,67.56%,33% Buy,NASDAQ,19.52%,31.85,14.36,16.4
MGPI,MGP Ingredients Inc,64,-0.14,1072949000,71.04%,419.92%,24.44%,100% Buy,NASDAQ,-0.33%,65.08,34.35,63.73
MGRC,Mcgrath Rentcorp,44.78,-0.35,1078111000,48.13%,23.02%,16.04%,67% Buy,NASDAQ,-0.36%,46.73,29.26,45.08
MHK,Mohawk Industries,261.77,-1.89,19807024000,41.07%,87.63%,13.52%,100% Buy,NYSE,-1.78%,267.12,175.52,265.32
MHLD,Maiden Holdings Ltd,8.45,0.33,731939000,-38.22%,-29.29%,41.89%,67% Sell,NASDAQ,0.36%,18.95,6.25,8.52
MHO,M/I Homes,29.89,4.1,732418000,37.64%,35.47%,12.91%,33% Buy,NYSE,2.43%,30.38,20.4,29.05
MIC,Macquarie Infrastructure Company Trust,69.5,-0.97,5794340000,-16.25%,-2.16%,16.45%,100% Sell,NYSE,-0.84%,85.45,68.49,69.64
MIDD,Middleby Corp,115.73,-0.5,6741522000,6.40%,32.23%,21.78%,100% Sell,NASDAQ,-1.10%,150.87,108.45,116.61
MIK,The Michaels Comp,20.97,0.12,3793550000,-8.89%,14.66%,26.27%,67% Buy,NASDAQ,0.05%,25.57,17.25,20.83
MINI,Mobile Mini Inc,33.85,0.19,1498354000,39.51%,-22.88%,24.25%,67% Buy,NASDAQ,0.15%,37.05,23.4,33.75
MITK,Mitek Systems Inc,9.5,-0.48,321624000,35.03%,245.67%,19.06%,67% Buy,NASDAQ,-0.73%,10.75,5.26,9.61
MITT,Ag Mortgage Investment Trust,19.13,-2.34,539345000,22.15%,1.63%,10.60%,67% Buy,NYSE,-1.29%,19.72,15.09,19.44
MJCO,Majesco,5.58,0.37,202011000,16.49%,0.00%,38.63%,100% Buy,AMEX,0.90%,6.34,4.35,5.51
MKC,Mccormick & Company Inc,98.32,-0.55,12989960000,2.50%,40.21%,24.96%,Hold,NYSE,-0.85%,106.5,88.64,99.1
MKL,Markel Corp,1063.93,0.17,14794258000,19.93%,53.94%,12.72%,67% Buy,NYSE,0.03%,1105.23,811.05,1069.53
MKSI,Mks Instruments Inc,100.85,-2.46,5620694000,105.69%,184.48%,14.15%,100% Buy,NASDAQ,-2.61%,106.7,48.05,103.58
MKTX,Marketaxess Holdings,177.98,-3.56,7135604000,16.79%,194.01%,29.81%,100% Sell,NASDAQ,-6.37%,211.06,145.1,190.6
MLAB,Mesa Labs Inc,154.24,0.85,569609000,21.82%,97.84%,26.37%,Hold,NASDAQ,2.08%,169.8,109.14,150.93
MLHR,Miller Herman Inc,35.2,0.43,2092300000,24.96%,9.38%,15.89%,67% Buy,NASDAQ,0.57%,37,27.02,34.82
MLI,Mueller Industries,34.12,-0.16,1972099000,10.30%,5.42%,14.22%,67% Buy,NYSE,-0.29%,43.96,27.72,34.32
MLM,Martin Marietta Materials,210.81,-1.88,13610515000,18.36%,85.25%,23.29%,33% Sell,NYSE,-2.67%,244.32,175.16,215.87
MLP,Maui Land & Pineapple Company,15.4,-0.15,295895000,135.11%,153.68%,68.59%,67% Sell,NYSE,-0.65%,27.8,6.55,15.32
MLR,Miller Industries,28.1,-2.09,324899000,26.52%,44.41%,15.86%,67% Buy,NYSE,-1.58%,29,21.55,28.52
MLVF,Malvern Bncp,27.35,-2.01,181989000,62.31%,146.66%,10.05%,100% Buy,NASDAQ,-1.26%,27.85,16.75,27.75
MMC,Marsh & Mclennan Companies,83.94,-0.75,43303660000,34.24%,55.40%,8.06%,67% Buy,NYSE,-0.65%,84.9,62.41,84.55
MMI,Marcus & Millichap,26.84,-0.45,1028096000,9.91%,-13.17%,15.66%,67% Buy,NYSE,-0.48%,30.31,22.93,26.94
MMM,3M Company,236.31,0.7,1.40032E+11,42.39%,52.60%,19.68%,100% Buy,NYSE,0.71%,238.9,163.85,234.18
MMS,Maximus Inc,66.02,-0.94,4310530000,20.89%,37.23%,10.47%,100% Buy,NYSE,-0.72%,66.64,43.69,66.45
MMSI,Merit Medical Sys,41.75,-0.79,2112980000,80.52%,178.22%,21.53%,67% Buy,NASDAQ,-0.95%,45.5,20.7,42.08
MNK,Mallinckrodt Plc Ordinary Share,31.16,0.04,3085811000,-50.71%,-66.31%,40.26%,100% Sell,NYSE,0.32%,68.12,30.33,30.86
MNOV,Medicinova Inc,6.29,-0.52,231762000,-13.00%,79.83%,62.11%,67% Buy,NASDAQ,-2.02%,7.78,4.4,6.41
MNR,Monmouth Real Estate Investment Corp,16.75,-1.13,1223362000,19.99%,50.54%,7.12%,100% Buy,NYSE,-0.65%,16.98,12.91,16.88
MNRO,Monro Muffler Brak,48.35,-2.3,1640908000,-12.91%,-6.16%,26.66%,67% Buy,NASDAQ,-3.59%,61.75,39.65,49.32
